Source IP,Source Port,Destination IP,Destination Port,Protocol
192.168.122.197,59308,23.32.177.81,443,TCP
23.32.177.81,443,192.168.122.197,59308,TCP
192.168.122.197,51406,192.168.122.1,53,TCP
192.168.122.197,51410,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,51406,TCP
192.168.122.1,53,192.168.122.197,51410,TCP
192.168.122.197,46302,44.215.135.131,443,TCP
192.168.122.197,33934,108.158.228.47,443,TCP
192.168.122.197,33946,108.158.228.47,443,TCP
192.168.122.197,33954,108.158.228.47,443,TCP
192.168.122.197,33960,108.158.228.47,443,TCP
192.168.122.197,33976,108.158.228.47,443,TCP
192.168.122.197,33980,108.158.228.47,443,TCP
108.158.228.47,443,192.168.122.197,33946,TCP
108.158.228.47,443,192.168.122.197,33954,TCP
108.158.228.47,443,192.168.122.197,33980,TCP
108.158.228.47,443,192.168.122.197,33960,TCP
108.158.228.47,443,192.168.122.197,33976,TCP
108.158.228.47,443,192.168.122.197,33934,TCP
192.168.122.197,49262,54.247.6.134,443,TCP
44.215.135.131,443,192.168.122.197,46302,TCP
192.168.122.197,58854,142.250.186.170,443,TCP
54.247.6.134,443,192.168.122.197,49262,TCP
192.168.122.197,33868,13.35.222.59,80,TCP
13.35.222.59,80,192.168.122.197,33868,TCP
192.168.122.197,59872,180.149.59.144,80,TCP
192.168.122.197,59856,180.149.59.144,80,TCP
180.149.59.144,80,192.168.122.197,59872,TCP
180.149.59.144,80,192.168.122.197,59856,TCP
192.168.122.197,58870,142.250.186.170,443,TCP
142.250.186.170,443,192.168.122.197,58870,TCP
142.250.186.170,443,192.168.122.197,58854,TCP
192.168.122.197,60502,142.250.183.195,80,TCP
192.168.122.197,60516,142.250.183.195,80,TCP
142.250.183.195,80,192.168.122.197,60502,TCP
142.250.183.195,80,192.168.122.197,60516,TCP
192.168.122.197,49314,52.94.222.127,443,TCP
52.94.222.127,443,192.168.122.197,49314,TCP
192.168.122.197,40118,13.35.191.2,443,TCP
192.168.122.197,43382,67.220.224.105,443,TCP
192.168.122.197,43388,67.220.224.105,443,TCP
192.168.122.197,43404,67.220.224.105,443,TCP
13.35.191.2,443,192.168.122.197,40118,TCP
192.168.122.197,47090,18.164.237.50,443,TCP
192.168.122.197,47104,18.164.237.50,443,TCP
192.168.122.197,39370,52.16.32.113,443,TCP
18.164.237.50,443,192.168.122.197,47090,TCP
18.164.237.50,443,192.168.122.197,47104,TCP
192.168.122.197,59198,151.101.157.51,443,TCP
192.168.122.197,59206,151.101.157.51,443,TCP
192.168.122.197,34320,108.158.229.139,443,TCP
67.220.224.105,443,192.168.122.197,43404,TCP
151.101.157.51,443,192.168.122.197,59198,TCP
67.220.224.105,443,192.168.122.197,43382,TCP
67.220.224.105,443,192.168.122.197,43388,TCP
151.101.157.51,443,192.168.122.197,59206,TCP
52.16.32.113,443,192.168.122.197,39370,TCP
192.168.122.197,39262,18.164.246.94,443,TCP
108.158.229.139,443,192.168.122.197,34320,TCP
18.164.246.94,443,192.168.122.197,39262,TCP
192.168.122.197,39264,18.164.246.94,443,TCP
192.168.122.197,43408,67.220.224.105,443,TCP
192.168.122.197,43414,67.220.224.105,443,TCP
192.168.122.197,43430,67.220.224.105,443,TCP
18.164.246.94,443,192.168.122.197,39264,TCP
192.168.122.197,43446,67.220.224.105,443,TCP
192.168.122.197,45556,108.158.64.144,443,TCP
108.158.64.144,443,192.168.122.197,45556,TCP
67.220.224.105,443,192.168.122.197,43408,TCP
67.220.224.105,443,192.168.122.197,43430,TCP
67.220.224.105,443,192.168.122.197,43414,TCP
192.168.122.197,39376,52.16.32.113,443,TCP
67.220.224.105,443,192.168.122.197,43446,TCP
192.168.122.197,49330,52.94.222.127,443,TCP
52.16.32.113,443,192.168.122.197,39376,TCP
52.94.222.127,443,192.168.122.197,49330,TCP
192.168.122.197,58880,142.250.186.170,443,TCP
192.168.122.197,43462,67.220.224.105,443,TCP
192.168.122.197,36202,52.94.220.185,443,TCP
67.220.224.105,443,192.168.122.197,43462,TCP
192.168.122.197,51468,142.250.186.170,443,TCP
52.94.220.185,443,192.168.122.197,36202,TCP
142.250.186.170,443,192.168.122.197,58880,TCP
142.250.186.170,443,192.168.122.197,51468,TCP
192.168.122.197,32832,18.66.40.93,443,TCP
192.168.122.197,35402,54.192.166.121,443,TCP
18.66.40.93,443,192.168.122.197,32832,TCP
54.192.166.121,443,192.168.122.197,35402,TCP
192.168.122.197,36344,34.120.115.102,443,TCP
34.120.115.102,443,192.168.122.197,36344,TCP
192.168.122.197,60694,13.35.218.96,443,TCP
192.168.122.197,58290,18.66.63.119,443,TCP
13.35.218.96,443,192.168.122.197,60694,TCP
18.66.63.119,443,192.168.122.197,58290,TCP
192.168.122.197,60444,23.106.127.39,443,TCP
192.168.122.197,59272,23.90.68.235,443,TCP
192.168.122.197,45486,35.213.12.39,443,TCP
192.168.122.197,54386,23.212.233.24,443,TCP
192.168.122.197,38262,13.228.126.19,443,TCP
192.168.122.197,34584,103.195.32.131,443,TCP
192.168.122.197,46510,35.186.196.148,443,TCP
192.168.122.197,46918,213.19.162.90,443,TCP
192.168.122.197,45864,180.149.59.147,443,TCP
192.168.122.197,45872,180.149.59.147,443,TCP
35.186.196.148,443,192.168.122.197,46510,TCP
192.168.122.197,34100,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,34100,TCP
180.149.59.147,443,192.168.122.197,45872,TCP
180.149.59.147,443,192.168.122.197,45864,TCP
192.168.122.197,60572,44.194.103.132,443,TCP
13.228.126.19,443,192.168.122.197,38262,TCP
192.168.122.197,53502,34.111.79.67,443,TCP
192.168.122.197,35448,35.190.24.218,443,TCP
103.195.32.131,443,192.168.122.197,34584,TCP
192.168.122.197,34910,3.1.137.74,443,TCP
192.168.122.197,34926,3.1.137.74,443,TCP
192.168.122.197,56588,54.201.89.139,443,TCP
34.111.79.67,443,192.168.122.197,53502,TCP
35.190.24.218,443,192.168.122.197,35448,TCP
192.168.122.197,48636,65.0.153.54,443,TCP
192.168.122.197,38222,185.84.60.29,443,TCP
192.168.122.197,50544,34.98.64.218,443,TCP
192.168.122.197,50554,34.98.64.218,443,TCP
192.168.122.197,59288,23.90.68.235,443,TCP
192.168.122.197,53558,35.71.178.8,443,TCP
192.168.122.197,43530,119.9.108.180,443,TCP
192.168.122.197,47048,3.212.219.210,443,TCP
192.168.122.197,50046,207.65.33.82,443,TCP
192.168.122.197,39454,213.19.162.80,443,TCP
192.168.122.197,45158,3.114.95.219,443,TCP
192.168.122.197,53932,31.13.79.35,443,TCP
192.168.122.197,50444,34.250.36.253,443,TCP
65.0.153.54,443,192.168.122.197,48636,TCP
